Option,Category,Provider/Instrument,RateOrExpectedReturn%,TenureYears,LockInYears,Risk,Liquidity,TaxEfficiency,MinInvestment₹,Eligibility/Notes,Source/Updated,ActiveStatus,RateDate,DataConfidence,ProductNotes
Savings Account / Cash,CASH & PARKING,Bank savings account,,0.01,0.0,LOW,HIGH,LOW,0,Emergency liquidity / immediate access.,Bank official rate / user verified,ACTIVE,,PARTIAL,
Sweep FD,FIXED RETURN,Bank sweep / auto-sweep deposit,,0.5,0.0,LOW,HIGH,LOW/MEDIUM,1000,Useful for cash parking if your bank offers sweep-in/out.,Bank official rate / user verified,ACTIVE,,PARTIAL,
Bank FD — General,FIXED RETURN,Scheduled commercial bank FD,,1.0,0.5,LOW,MEDIUM,LOW/MEDIUM,1000,"Compare exact bank, tenure, premature withdrawal and deposit-insurance exposure.",Bank official rate / user verified,ACTIVE,,PARTIAL,
Bank FD — Senior Citizen,FIXED RETURN,Scheduled commercial bank senior-citizen FD,,1.0,0.5,LOW,MEDIUM,LOW/MEDIUM,1000,Eligibility required; compare extra senior rate and premature withdrawal terms.,Bank official rate / user verified,ACTIVE,,PARTIAL,
Small Finance Bank FD,FIXED RETURN,Eligible SFB fixed deposit,,1.0,0.5,LOW/MEDIUM,MEDIUM,LOW/MEDIUM,1000,Higher rates may carry higher institution concentration risk; verify deposit-insurance coverage and limits.,SFB official rate / user verified,ACTIVE,,PARTIAL,
NBFC / Corporate FD,FIXED RETURN,Rated NBFC/company deposit,,1.0,1.0,MEDIUM,LOW/MEDIUM,LOW,1000,"Verify issuer rating, liquidity, premature withdrawal and concentration risk.",Issuer official rate / verified document,ACTIVE,,PARTIAL,
Tax-Saving Bank FD,FIXED RETURN,5-year tax-saving bank FD,,5.0,5.0,LOW,LOW,MEDIUM,1000,Lock-in applies; tax treatment depends on current law.,Bank official rate / user verified,ACTIVE,,PARTIAL,
Recurring Deposit — Bank,FIXED RETURN,Bank recurring deposit,,2.0,1.0,LOW,MEDIUM,LOW/MEDIUM,100,For disciplined monthly saving; use exact institution rate and tenure.,Bank official rate / user verified,ACTIVE,,PARTIAL,
Recurring Deposit — Post Office,GOVT SAVINGS,Post Office RD,,5.0,5.0,LOW,LOW/MEDIUM,MEDIUM,100,Use current official Post Office rate/rules.,Government / India Post official update,ACTIVE,,PARTIAL,
Post Office Savings Account,GOVT SAVINGS,Post Office Savings Account,,0.01,0.0,LOW,HIGH,MEDIUM,500,"Liquidity product, not a high-return investment.",Government / India Post official update,ACTIVE,,PARTIAL,
Post Office Time Deposit — 1Y,GOVT SAVINGS,Post Office TD 1 Year,,1.0,1.0,LOW,LOW/MEDIUM,MEDIUM,1000,Use current official tenure-specific rate.,Government / India Post official update,ACTIVE,,PARTIAL,
Post Office Time Deposit — 2Y,GOVT SAVINGS,Post Office TD 2 Years,,2.0,2.0,LOW,LOW/MEDIUM,MEDIUM,1000,Use current official tenure-specific rate.,Government / India Post official update,ACTIVE,,PARTIAL,
Post Office Time Deposit — 3Y,GOVT SAVINGS,Post Office TD 3 Years,,3.0,3.0,LOW,LOW/MEDIUM,MEDIUM,1000,Use current official tenure-specific rate.,Government / India Post official update,ACTIVE,,PARTIAL,
Post Office Time Deposit — 5Y,GOVT SAVINGS,Post Office TD 5 Years,,5.0,5.0,LOW,LOW/MEDIUM,MEDIUM/HIGH,1000,Use current official tenure-specific rate and current tax rules.,Government / India Post official update,ACTIVE,,PARTIAL,
Post Office MIS,GOVT SAVINGS,Monthly Income Scheme,,5.0,5.0,LOW,LOW/MEDIUM,MEDIUM,1000,Eligibility/deposit limits and premature closure rules apply.,Government / India Post official update,ACTIVE,,PARTIAL,
PPF,GOVT SAVINGS,Public Provident Fund,,15.0,15.0,LOW,LOW,HIGH,500,Long-term government savings; contribution/withdrawal/tax rules apply.,Government official-rate update,ACTIVE,,PARTIAL,
NSC,GOVT SAVINGS,National Savings Certificate,,5.0,5.0,LOW,LOW,MEDIUM/HIGH,1000,Use current official rate and tax rules.,Government / India Post official update,ACTIVE,,PARTIAL,
KVP,GOVT SAVINGS,Kisan Vikas Patra,,10.0,2.5,LOW,LOW/MEDIUM,MEDIUM,1000,Maturity period/rate can change; use current official terms.,Government / India Post official update,ACTIVE,,PARTIAL,
SCSS,GOVT SAVINGS,Senior Citizens Savings Scheme,,5.0,5.0,LOW,LOW/MEDIUM,MEDIUM,1000,Eligibility and maximum deposit limits apply.,Government / India Post official update,ACTIVE,,PARTIAL,
Sukanya Samriddhi,GOVT SAVINGS,Sukanya Samriddhi Account,,21.0,21.0,LOW,LOW,HIGH,250,Eligibility and contribution/withdrawal rules apply.,Government / India Post official update,ACTIVE,,PARTIAL,
91-Day T-Bill,SOVEREIGN DEBT,Government Treasury Bill,,0.25,0.0,LOW,HIGH,MEDIUM,1000,Use current auction/market yield; detailed analysis in Fixed Income.,RBI/NSE official current yield,ACTIVE,,PARTIAL,
182-Day T-Bill,SOVEREIGN DEBT,Government Treasury Bill,,0.5,0.0,LOW,HIGH,MEDIUM,1000,Use current auction/market yield; detailed analysis in Fixed Income.,RBI/NSE official current yield,ACTIVE,,PARTIAL,
364-Day T-Bill,SOVEREIGN DEBT,Government Treasury Bill,,1.0,0.0,LOW,HIGH,MEDIUM,1000,Use current auction/market yield; detailed analysis in Fixed Income.,RBI/NSE official current yield,ACTIVE,,PARTIAL,
Dated G-Sec,SOVEREIGN DEBT,Government of India dated security,,5.0,0.0,LOW,MEDIUM/HIGH,MEDIUM,1000,"Use exact security, current YTM, maturity and duration risk.",RBI/NSE official market data,ACTIVE,,PARTIAL,
SDL,SOVEREIGN DEBT,State Development Loan,,5.0,0.0,LOW,MEDIUM,MEDIUM,1000,"Use exact state security, current YTM and maturity.",RBI/NSE official market data,ACTIVE,,PARTIAL,
RBI Floating Rate Savings Bond,GOVT SAVINGS,RBI Floating Rate Savings Bond / current equivalent,,7.0,7.0,LOW,LOW,MEDIUM,1000,Availability/rate reset/lock-in/eligibility must be verified from current official terms.,RBI/Government official terms,ACTIVE,,PARTIAL,
AAA / High-Grade Corporate Bond,CORPORATE DEBT,Exact listed corporate bond/NCD,,3.0,0.0,LOW/MEDIUM,MEDIUM,MEDIUM,1000,"Verify issuer, rating, security, YTM, call/put terms and liquidity.",Exchange/issuer official data,ACTIVE,,PARTIAL,
Corporate NCD,CORPORATE DEBT,Exact listed NCD,,3.0,0.0,MEDIUM,MEDIUM,MEDIUM,1000,Credit and liquidity risk vary materially; verify exact issue/security.,Exchange/issuer official data,ACTIVE,,PARTIAL,
Target Maturity Debt Fund / ETF,DEBT FUND,Exact target-maturity fund/ETF,,5.0,0.0,LOW/MEDIUM,HIGH,MEDIUM,500,"Use exact scheme portfolio, maturity, YTM, expense ratio and tracking error.",AMFI/NSE verified data,ACTIVE,,PARTIAL,
NPS Tier I,RETIREMENT,National Pension System Tier I,,15.0,15.0,MEDIUM,LOW,HIGH,500,"Market-linked; allocation, withdrawal, annuity and tax rules apply.",NPS Trust official data,ACTIVE,,PARTIAL,
NPS Tier II,RETIREMENT,National Pension System Tier II,,5.0,0.0,MEDIUM,MEDIUM/HIGH,VARIES,250,Market-linked; availability/tax rules depend on subscriber situation.,NPS Trust official data,ACTIVE,,PARTIAL,
EPF / VPF,RETIREMENT,Employee Provident Fund / Voluntary PF,,10.0,0.0,LOW,LOW/MEDIUM,HIGH,0,Only where eligible through employment; contribution/withdrawal rules apply.,EPFO/Government official terms,ACTIVE,,PARTIAL,
Immediate / Deferred Annuity,RETIREMENT INCOME,Insurer annuity product,,10.0,5.0,LOW/MEDIUM,LOW,VARIES,10000,"Compare guaranteed payout, return of purchase price, inflation risk and insurer terms.",Insurer official illustration/terms,ACTIVE,,PARTIAL,
REIT,LISTED INCOME,Select listed REIT,,5.0,0.0,MEDIUM,HIGH,MEDIUM,1000,"Analyze market price, NAV/valuation, distributions, leverage and occupancy.",NSE/BSE + issuer filings,ACTIVE,,PARTIAL,
InvIT,LISTED INCOME,Select listed InvIT,,5.0,0.0,MEDIUM,HIGH,MEDIUM,1000,"Analyze distribution yield, leverage, asset quality and project risks.",NSE/BSE + issuer filings,ACTIVE,,PARTIAL,
International ETF / Fund,INTERNATIONAL,Exact international ETF/FoF/fund available to investor,,5.0,0.0,MEDIUM/HIGH,MEDIUM/HIGH,MEDIUM,1000,"Currency, overseas-market, tax and availability risks apply.",NSE/AMFI first; public reference fallback,ACTIVE,,PARTIAL,
Secondary-Market Sovereign Gold Bond,GOLD INCOME,Exact listed sovereign-gold instrument if available,,5.0,0.0,LOW/MEDIUM,LOW/MEDIUM,MEDIUM/HIGH,1000,Secondary-market price/liquidity and exact security terms must be verified.,Exchange/RBI historical security data,ACTIVE,,PARTIAL,
Physical Gold,REAL ASSET,Physical gold / coin / bar,,3.0,0.0,MEDIUM,MEDIUM,MEDIUM,1000,"Use Gold/Silver specialist page for quote, buy zones, GST/premium/making-cost logic.",Dealer quote + market benchmark/proxy,ACTIVE,,PARTIAL,
Physical Silver,REAL ASSET,Physical silver / bar,,3.0,0.0,MEDIUM/HIGH,MEDIUM,MEDIUM,1000,"Use Gold/Silver specialist page for quote, buy zones and market proxy.",Dealer quote + market benchmark/proxy,ACTIVE,,PARTIAL,
Real Estate,REAL ASSET,Direct property,,7.0,5.0,MEDIUM,LOW,MEDIUM,100000,"Manual valuation, rent, vacancy, transaction costs, taxes and legal due diligence required.",Manual verified property inputs,ACTIVE,,PARTIAL,
PMS,ALTERNATIVE,Portfolio Management Service,,5.0,3.0,HIGH,LOW/MEDIUM,VARIES,0,"Eligibility/minimum ticket, fees, drawdown and strategy history must be verified.",Provider/SEBI official documents,ACTIVE,,PARTIAL,
