Provider,BankType,Product,GeneralRate%,SeniorRate%,TenureYears,Source,SourceURL,RateDate,DataConfidence,ActiveStatus,Notes
Bank of Baroda,Public Sector Bank,Highest published slab,6.75,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Baroda,Public Sector Bank,1 Year,6.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Baroda,Public Sector Bank,3 Years,6.25,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Baroda,Public Sector Bank,5 Years,6.3,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of India,Public Sector Bank,Highest published slab,6.85,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of India,Public Sector Bank,1 Year,6.5,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of India,Public Sector Bank,3 Years,6.7,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of India,Public Sector Bank,5 Years,6.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Maharashtra,Public Sector Bank,Highest published slab,6.65,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Maharashtra,Public Sector Bank,1 Year,6.2,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Maharashtra,Public Sector Bank,3 Years,5.25,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Bank of Maharashtra,Public Sector Bank,5 Years,5.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Canara Bank,Public Sector Bank,Highest published slab,6.6,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Canara Bank,Public Sector Bank,1 Year,6.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Canara Bank,Public Sector Bank,3 Years,6.25,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Canara Bank,Public Sector Bank,5 Years,6.25,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Central Bank of India,Public Sector Bank,Highest published slab,6.75,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Central Bank of India,Public Sector Bank,1 Year,6.1,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Central Bank of India,Public Sector Bank,3 Years,6.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Central Bank of India,Public Sector Bank,5 Years,6.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Bank,Public Sector Bank,Highest published slab,6.65,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Indian Bank,Public Sector Bank,1 Year,6.1,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
