Option,Provider,Rate%,TenureYears,LockInYears,MinInvestment₹,RateDate,ValidThrough,Source,DataConfidence,Notes
Post Office Savings Account,Post Office Savings Account,4.0,0.01,0.0,500,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Recurring Deposit — Post Office,Post Office RD,6.7,5.0,5.0,100,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Post Office Time Deposit — 1Y,Post Office TD 1 Year,6.9,1.0,1.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Post Office Time Deposit — 2Y,Post Office TD 2 Years,7.0,2.0,2.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Post Office Time Deposit — 3Y,Post Office TD 3 Years,7.1,3.0,3.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Post Office Time Deposit — 5Y,Post Office TD 5 Years,7.5,5.0,5.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Post Office MIS,Monthly Income Scheme,7.4,5.0,5.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
PPF,Public Provident Fund,7.1,15.0,15.0,500,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
NSC,National Savings Certificate,7.7,5.0,5.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
KVP,Kisan Vikas Patra,7.5,9.583333333333334,2.5,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
SCSS,Senior Citizens Savings Scheme,8.2,5.0,5.0,1000,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
Sukanya Samriddhi,Sukanya Samriddhi Account,8.2,21.0,21.0,250,01-Jul-2026,30-Sep-2026,Government of India DEA Q2 FY2026-27 notification + India Post current scheme page,HIGH,"Government small-savings rate. Eligibility, contribution limits, premature closure and tax rules still apply."
